regid,geom
e4b63886-ca5a-4149-b6b2-6b0cf3c7a616,"{""type"": ""LineString"", ""coordinates"": [[-73.9200282096863, 40.6683348607101], [-73.90700340270998, 40.670271620493054]]}"
352991c9-fad5-44f1-9500-de3c2daf4a05,"{""type"": ""Point"", ""coordinates"": [-73.91019460279495, 40.67209030140609]}"
91d64be9-e7bb-43ef-92c2-f30b1987c76f,"{""type"": ""Point"", ""coordinates"": [-73.98046156391503, 40.68829469860198]}"
327ac051-e4e8-4ed0-bc8b-703969f08fdb,"{""type"": ""Point"", ""coordinates"": [-73.93775761127473, 40.73448645125444]}"
92d20a00-9cfb-4f5b-af2c-18f10452318a,"{""type"": ""Point"", ""coordinates"": [-73.85466277599336, 40.83195897591434]}"
d6e26017-fa8f-43ee-aa2b-180db78d266f,"{""type"": ""Point"", ""coordinates"": [-73.90194672625513, 40.869194797732725]}"
42b8c953-a034-4c25-b051-9f0d65b0042c,"{""type"": ""LineString"", ""coordinates"": [[-73.95035183988512, 40.706671904000515], [-73.93986591137947, 40.70767544278907]]}"
ca42ecb1-159d-429b-ab21-613303a2f6df,"{""type"": ""Point"", ""coordinates"": [-73.90948712825777, 40.8463461517002]}"
ccf92205-6be9-44c8-81a9-b16843a23e88,"{""type"": ""Point"", ""coordinates"": [-73.95956933498384, 40.808482305933566]}"
72d51c02-2cdb-4e94-b182-d44ecb82a839,"{""type"": ""Point"", ""coordinates"": [-73.85291397571565, 40.78437181392894]}"
82e8bb95-f95a-4319-99f0-bcb447d2614f,"{""type"": ""Point"", ""coordinates"": [-73.83288860321046, 40.77904658869192]}"
bfac0cd8-c2fe-448e-82bf-681478cbd8a4,"{""type"": ""Polygon"", ""coordinates"": [[[-73.76838684082033, 40.60911449427036], [-73.76870870590211, 40.60878869401267], [-73.76911640167238, 40.60816966914706], [-73.7694811820984, 40.607420315585365], [-73.76956701278688, 40.60678498750569], [-73.76950263977052, 40.60613336268842], [-73.76939535140993, 40.60549802237449], [-73.76909494400026, 40.6048138029743], [-73.76866579055788, 40.60344534316035]]]}"
c1a7812f-2687-437c-93a9-78c2b1c2152c,"{""type"": ""Point"", ""coordinates"": [-73.7690842151642, 40.718241354932935]}"
09054496-f035-4b55-a4b9-70271a5e86c2,"{""type"": ""Point"", ""coordinates"": [-73.91729772090913, 40.851361651431404]}"
4043846c-e189-456d-b462-c8a540b5b945,"{""type"": ""Point"", ""coordinates"": [-73.97046983242036, 40.744976984435176]}"
bd9a9d26-8cce-4daf-a6cb-c543916df8d9,"{""type"": ""Point"", ""coordinates"": [-73.97483041277157, 40.74062690748204]}"
159db6b8-f441-492e-810f-e0c85858c00d,"{""type"": ""Point"", ""coordinates"": [-73.74882817268373, 40.76817546742245]}"
5a91eae2-b113-4371-a6f8-3651b3e77d45,"{""type"": ""LineString"", ""coordinates"": [[-74.00965690612794, 40.7227827383694], [-74.00988757610322, 40.721477681390915]]}"
c8c21ffc-9da7-4910-8674-e15890d9ba8e,"{""type"": ""Point"", ""coordinates"": [-73.90412947861479, 40.679242276038146]}"
82095067-d7f5-4a6d-818a-9394e3a00d23,"{""type"": ""Point"", ""coordinates"": [-73.75351667404176, 40.59868402507957]}"
f1c76f4f-c7d2-4529-a6c6-c1ac0a82d63a,"{""type"": ""Point"", ""coordinates"": [-73.90536551596598, 40.83312800293334]}"
b8cfead1-fbbd-4f7c-a0e3-57159243d6a8,"{""type"": ""Point"", ""coordinates"": [-73.80129218101503, 40.85860829677559]}"
f144787a-e6cd-4e46-8de4-8c3863431a19,"{""type"": ""Point"", ""coordinates"": [-73.94841687753798, 40.63996508069083]}"
4702aefe-73f2-4af4-992f-ec85dbf8749d,"{""type"": ""Point"", ""coordinates"": [-73.92279624938966, 40.71649302267111]}"
8b09d5a0-d129-4e0c-8e93-c42cce0bad25,"{""type"": ""Point"", ""coordinates"": [-73.93242709804326, 40.84256113316983]}"
a7c7a844-1033-483c-90ee-d93687f57f33,"{""type"": ""Point"", ""coordinates"": [-73.82338285446168, 40.78361225413196]}"
e68f938f-56ed-4dec-8539-1caaea4e9914,"{""type"": ""Point"", ""coordinates"": [-73.9133888622746, 40.87765678783057]}"
92b8170a-6579-48c5-b740-5029af75922f,"{""type"": ""Point"", ""coordinates"": [-73.8316708803177, 40.847336296607644]}"
253d68f6-1ee9-499f-8c5e-5f3ad3566f58,"{""type"": ""Point"", ""coordinates"": [-73.92216324806215, 40.78025708928332]}"
c97b0873-54b0-4b9d-a3bc-b1a463d78897,"{""type"": ""Point"", ""coordinates"": [-73.90393495559694, 40.854802486687014]}"
0e7eedd2-d438-4694-a5f4-9d453f8213e3,"{""type"": ""LineString"", ""coordinates"": [[-73.75641345977785, 40.695037654649404], [-73.7546753883362, 40.69550131981608]]}"
6582c0de-dbaf-4d95-99b9-dae8a417bbff,"{""type"": ""LineString"", ""coordinates"": [[-74.18869972229005, 40.611541656194184], [-74.18990135192873, 40.60017070058656]]}"
e949271d-71c1-4b11-a968-019b850bfe02,"{""type"": ""Point"", ""coordinates"": [-73.88774895574899, 40.83743652815117]}"
16859813-4ea2-4d32-a58e-db86d17e28b7,"{""type"": ""Point"", ""coordinates"": [-74.00397062301637, 40.729864563969706]}"
2a55b02a-75e2-43ad-9ad7-07da9255b3e5,"{""type"": ""Point"", ""coordinates"": [-73.91850316431375, 40.87258076934702]}"
02d9281b-ab71-456c-b31d-b690585aeb32,"{""type"": ""Point"", ""coordinates"": [-73.93048882484437, 40.803674714153814]}"
eb960c09-f0e8-4c8b-9aca-8ed4d67660b0,"{""type"": ""Point"", ""coordinates"": [-74.00121331214906, 40.733836073158066]}"
a0022bcd-df49-48c2-b4e7-f7cdbc516240,"{""type"": ""LineString"", ""coordinates"": [[-73.98321405518801, 40.69366203529392], [-73.98243491537869, 40.6920537815254]]}"
49663633-8dbd-46c1-b0fb-ebcce1dbaa16,"{""type"": ""LineString"", ""coordinates"": [[-74.00614321231843, 40.7290921856226], [-74.00550620863214, 40.722492764974895]]}"
4690d215-fe02-48bc-85d7-692667edae9a,"{""type"": ""Point"", ""coordinates"": [-73.77600431442262, 40.79201160873033]}"
de6adbae-49bf-4ec8-a2eb-074279d0c44a,"{""type"": ""Point"", ""coordinates"": [-73.98980319499971, 40.75720910803557]}"
0c6e997e-129b-410a-847f-59c0a9bc89e2,"{""type"": ""Point"", ""coordinates"": [-73.95009166561067, 40.76128535820941]}"
1e2d08c9-3abd-4911-906f-1720c53a54af,"{""type"": ""Point"", ""coordinates"": [-73.75135481357576, 40.77037339735111]}"
bcbb19a3-a580-4b4e-83a6-27c1f9dcc509,"{""type"": ""Point"", ""coordinates"": [-73.9849215745926, 40.773741248737764]}"
ea75ff2c-92c3-4abf-9abf-be789a25cbf6,"{""type"": ""LineString"", ""coordinates"": [[-73.90370302833618, 40.63816552763523], [-73.90576994279401, 40.63668944512514]]}"
b74d0e6d-21fe-429c-8e20-db76df5b4495,"{""type"": ""Point"", ""coordinates"": [-73.7335127592087, 40.74375771258967]}"
f0fb9e5b-8589-426c-aba0-81fdff39591e,"{""type"": ""LineString"", ""coordinates"": [[-73.85529041290285, 40.7026999176141], [-73.84514093399049, 40.68231407427667]]}"
cb1fae6a-8cba-4902-bcdd-ecc3a6aff4bf,"{""type"": ""Point"", ""coordinates"": [-74.03013582341374, 40.61332503333324]}"
3024712e-a3e0-4f1c-8555-7d967a2b7f0a,"{""type"": ""Point"", ""coordinates"": [-73.7284541130066, 40.756554888619675]}"
4674a903-d606-4aa7-bfbc-9837b0850448,"{""type"": ""Point"", ""coordinates"": [-73.86290788650514, 40.703513269579396]}"
0215c931-8310-45dc-a599-b24adba899ad,"{""type"": ""LineString"", ""coordinates"": [[-73.78078937530519, 40.696908564509855], [-73.7766480445862, 40.6986492769344]]}"
92369a7c-7e92-43d6-b9a1-df7056927e68,"{""type"": ""Point"", ""coordinates"": [-74.07360076904298, 40.58408841139376]}"
44e65de0-600d-4693-8ddc-490f28340fed,"{""type"": ""Point"", ""coordinates"": [-73.92625051550569, 40.8556308262503]}"
9c111fcb-e889-4f93-abdb-9beccfc215fb,"{""type"": ""LineString"", ""coordinates"": [[-73.75845193862916, 40.76199974842556], [-73.74426841735841, 40.765363961249776]]}"
e149578d-3f00-4919-81ed-3a107d00dff9,"{""type"": ""Point"", ""coordinates"": [-74.10211265087129, 40.644315994469075]}"
7989394c-d6e1-42a2-8b44-ccb0cc53faf7,"{""type"": ""Point"", ""coordinates"": [-73.78430843353273, 40.69744542459439]}"
f5dfcf93-a6df-4d9e-9629-e416845e924f,"{""type"": ""Point"", ""coordinates"": [-74.18136119842531, 40.64354262400074]}"
d8cfe204-faae-4ca7-8210-d4c29d4fdc4e,"{""type"": ""Point"", ""coordinates"": [-73.95417151506992, 40.58708713971727]}"
